实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
3839,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3840,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3841,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
3842,wy,wY,wwYy,糯性,长粒,糯性长粒
3843,wy,WY,WwYy,非糯性,长粒,非糯性长粒
3844,wY,wy,wwYy,糯性,长粒,糯性长粒
3845,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3846,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
3847,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3848,wY,wY,wwYY,糯性,长粒,糯性长粒
3849,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3850,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3851,WY,WY,WWYY,非糯性,长粒,非糯性长粒
3852,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
3853,wy,wy,wwyy,糯性,短粒,糯性短粒
3854,wy,wY,wwYy,糯性,长粒,糯性长粒
3855,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3856,wY,WY,WwYY,非糯性,长粒,非糯性长粒
3857,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
3858,wy,wy,wwyy,糯性,短粒,糯性短粒
