实验序号,亲本甲配子,亲本乙配子,后代基因型,胚乳性状,粒形,性状组合
1,wY,WY,WwYY,非糯性,长粒,非糯性长粒
2,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
3,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
4,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
5,wY,WY,WwYY,非糯性,长粒,非糯性长粒
6,wY,wY,wwYY,糯性,长粒,糯性长粒
7,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
8,wy,wy,wwyy,糯性,短粒,糯性短粒
9,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
10,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
11,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
12,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
13,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
14,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
15,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
16,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
17,WY,WY,WWYY,非糯性,长粒,非糯性长粒
18,wY,wy,wwYy,糯性,长粒,糯性长粒
19,WY,wY,WwYY,非糯性,长粒,非糯性长粒
20,wy,wy,wwyy,糯性,短粒,糯性短粒
21,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
22,WY,wy,WwYy,非糯性,长粒,非糯性长粒
23,wy,wY,wwYy,糯性,长粒,糯性长粒
24,WY,wy,WwYy,非糯性,长粒,非糯性长粒
25,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
26,wY,WY,WwYY,非糯性,长粒,非糯性长粒
27,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
28,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
29,wy,WY,WwYy,非糯性,长粒,非糯性长粒
30,wy,wy,wwyy,糯性,短粒,糯性短粒
31,wY,wY,wwYY,糯性,长粒,糯性长粒
32,wy,WY,WwYy,非糯性,长粒,非糯性长粒
33,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
34,WY,wY,WwYY,非糯性,长粒,非糯性长粒
35,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
36,WY,wy,WwYy,非糯性,长粒,非糯性长粒
37,wY,WY,WwYY,非糯性,长粒,非糯性长粒
38,wY,WY,WwYY,非糯性,长粒,非糯性长粒
39,wY,wy,wwYy,糯性,长粒,糯性长粒
40,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
41,WY,wy,WwYy,非糯性,长粒,非糯性长粒
42,WY,wy,WwYy,非糯性,长粒,非糯性长粒
43,wY,WY,WwYY,非糯性,长粒,非糯性长粒
44,WY,wY,WwYY,非糯性,长粒,非糯性长粒
45,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
46,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
47,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
48,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
49,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
50,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
51,wY,wY,wwYY,糯性,长粒,糯性长粒
52,wy,WY,WwYy,非糯性,长粒,非糯性长粒
53,wY,WY,WwYY,非糯性,长粒,非糯性长粒
54,wy,wY,wwYy,糯性,长粒,糯性长粒
55,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
56,wY,wY,wwYY,糯性,长粒,糯性长粒
57,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
58,wY,WY,WwYY,非糯性,长粒,非糯性长粒
59,wY,wy,wwYy,糯性,长粒,糯性长粒
60,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
61,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
62,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
63,wY,wy,wwYy,糯性,长粒,糯性长粒
64,WY,WY,WWYY,非糯性,长粒,非糯性长粒
65,wy,WY,WwYy,非糯性,长粒,非糯性长粒
66,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
67,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
68,WY,wY,WwYY,非糯性,长粒,非糯性长粒
69,wY,wY,wwYY,糯性,长粒,糯性长粒
70,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
71,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
72,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
73,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
74,wy,WY,WwYy,非糯性,长粒,非糯性长粒
75,wy,wy,wwyy,糯性,短粒,糯性短粒
76,WY,WY,WWYY,非糯性,长粒,非糯性长粒
77,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
78,wY,wY,wwYY,糯性,长粒,糯性长粒
79,wy,wY,wwYy,糯性,长粒,糯性长粒
80,wy,WY,WwYy,非糯性,长粒,非糯性长粒
81,wy,wY,wwYy,糯性,长粒,糯性长粒
82,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
83,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
84,wy,wY,wwYy,糯性,长粒,糯性长粒
85,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
86,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
87,wY,wY,wwYY,糯性,长粒,糯性长粒
88,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
89,wy,WY,WwYy,非糯性,长粒,非糯性长粒
90,wy,wY,wwYy,糯性,长粒,糯性长粒
91,wy,WY,WwYy,非糯性,长粒,非糯性长粒
92,wY,wy,wwYy,糯性,长粒,糯性长粒
93,wY,wY,wwYY,糯性,长粒,糯性长粒
94,wY,wY,wwYY,糯性,长粒,糯性长粒
95,WY,WY,WWYY,非糯性,长粒,非糯性长粒
96,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
97,wY,wy,wwYy,糯性,长粒,糯性长粒
98,WY,wy,WwYy,非糯性,长粒,非糯性长粒
99,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
100,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
101,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
102,WY,wy,WwYy,非糯性,长粒,非糯性长粒
103,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
104,wY,wY,wwYY,糯性,长粒,糯性长粒
105,WY,wY,WwYY,非糯性,长粒,非糯性长粒
106,wY,WY,WwYY,非糯性,长粒,非糯性长粒
107,wy,wY,wwYy,糯性,长粒,糯性长粒
108,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
109,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
110,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
111,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
112,WY,wY,WwYY,非糯性,长粒,非糯性长粒
113,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
114,WY,wy,WwYy,非糯性,长粒,非糯性长粒
115,wY,WY,WwYY,非糯性,长粒,非糯性长粒
116,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
117,wy,wy,wwyy,糯性,短粒,糯性短粒
118,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
119,WY,WY,WWYY,非糯性,长粒,非糯性长粒
120,wY,WY,WwYY,非糯性,长粒,非糯性长粒
121,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
122,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
123,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
124,wY,wy,wwYy,糯性,长粒,糯性长粒
125,wY,wy,wwYy,糯性,长粒,糯性长粒
126,wy,WY,WwYy,非糯性,长粒,非糯性长粒
127,wy,wy,wwyy,糯性,短粒,糯性短粒
128,wy,wY,wwYy,糯性,长粒,糯性长粒
129,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
130,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
131,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
132,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
133,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
134,WY,wY,WwYY,非糯性,长粒,非糯性长粒
135,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
136,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
137,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
138,wY,wy,wwYy,糯性,长粒,糯性长粒
139,wY,WY,WwYY,非糯性,长粒,非糯性长粒
140,wY,wy,wwYy,糯性,长粒,糯性长粒
141,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
142,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
143,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
144,WY,WY,WWYY,非糯性,长粒,非糯性长粒
145,WY,wy,WwYy,非糯性,长粒,非糯性长粒
146,wY,wy,wwYy,糯性,长粒,糯性长粒
147,wY,wy,wwYy,糯性,长粒,糯性长粒
148,wy,wY,wwYy,糯性,长粒,糯性长粒
149,WY,wy,WwYy,非糯性,长粒,非糯性长粒
150,wy,WY,WwYy,非糯性,长粒,非糯性长粒
151,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
152,wy,wy,wwyy,糯性,短粒,糯性短粒
153,WY,wy,WwYy,非糯性,长粒,非糯性长粒
154,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
155,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
156,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
157,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
158,wY,wy,wwYy,糯性,长粒,糯性长粒
159,WY,wy,WwYy,非糯性,长粒,非糯性长粒
160,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
161,wy,wY,wwYy,糯性,长粒,糯性长粒
162,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
163,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
164,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
165,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
166,WY,wY,WwYY,非糯性,长粒,非糯性长粒
167,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
168,wY,WY,WwYY,非糯性,长粒,非糯性长粒
169,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
170,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
171,WY,WY,WWYY,非糯性,长粒,非糯性长粒
172,wY,wY,wwYY,糯性,长粒,糯性长粒
173,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
174,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
175,WY,wY,WwYY,非糯性,长粒,非糯性长粒
176,WY,wY,WwYY,非糯性,长粒,非糯性长粒
177,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
178,wy,wy,wwyy,糯性,短粒,糯性短粒
179,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
180,wY,wy,wwYy,糯性,长粒,糯性长粒
181,wY,wy,wwYy,糯性,长粒,糯性长粒
182,WY,wY,WwYY,非糯性,长粒,非糯性长粒
183,wy,WY,WwYy,非糯性,长粒,非糯性长粒
184,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
185,WY,wY,WwYY,非糯性,长粒,非糯性长粒
186,wY,wy,wwYy,糯性,长粒,糯性长粒
187,wY,WY,WwYY,非糯性,长粒,非糯性长粒
188,WY,wY,WwYY,非糯性,长粒,非糯性长粒
189,WY,wY,WwYY,非糯性,长粒,非糯性长粒
190,WY,wy,WwYy,非糯性,长粒,非糯性长粒
191,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
192,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
193,wY,wy,wwYy,糯性,长粒,糯性长粒
194,WY,wy,WwYy,非糯性,长粒,非糯性长粒
195,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
196,wY,wY,wwYY,糯性,长粒,糯性长粒
197,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
198,WY,WY,WWYY,非糯性,长粒,非糯性长粒
199,wy,WY,WwYy,非糯性,长粒,非糯性长粒
200,wy,wy,wwyy,糯性,短粒,糯性短粒
201,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
202,wy,wy,wwyy,糯性,短粒,糯性短粒
203,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
204,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
205,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
206,WY,wY,WwYY,非糯性,长粒,非糯性长粒
207,wy,wY,wwYy,糯性,长粒,糯性长粒
208,wY,WY,WwYY,非糯性,长粒,非糯性长粒
209,wY,WY,WwYY,非糯性,长粒,非糯性长粒
210,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
211,wy,wY,wwYy,糯性,长粒,糯性长粒
212,wY,WY,WwYY,非糯性,长粒,非糯性长粒
213,wY,wy,wwYy,糯性,长粒,糯性长粒
214,WY,wY,WwYY,非糯性,长粒,非糯性长粒
215,wy,wY,wwYy,糯性,长粒,糯性长粒
216,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
217,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
218,wy,wy,wwyy,糯性,短粒,糯性短粒
219,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
220,wY,wY,wwYY,糯性,长粒,糯性长粒
221,WY,wy,WwYy,非糯性,长粒,非糯性长粒
222,wY,wY,wwYY,糯性,长粒,糯性长粒
223,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
224,wy,WY,WwYy,非糯性,长粒,非糯性长粒
225,WY,WY,WWYY,非糯性,长粒,非糯性长粒
226,wy,WY,WwYy,非糯性,长粒,非糯性长粒
227,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
228,wy,WY,WwYy,非糯性,长粒,非糯性长粒
229,wy,wY,wwYy,糯性,长粒,糯性长粒
230,wy,wy,wwyy,糯性,短粒,糯性短粒
231,wY,wy,wwYy,糯性,长粒,糯性长粒
232,wY,WY,WwYY,非糯性,长粒,非糯性长粒
233,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
234,WY,wY,WwYY,非糯性,长粒,非糯性长粒
235,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
236,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
237,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
238,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
239,WY,wy,WwYy,非糯性,长粒,非糯性长粒
240,WY,wy,WwYy,非糯性,长粒,非糯性长粒
241,WY,wy,WwYy,非糯性,长粒,非糯性长粒
242,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
243,WY,WY,WWYY,非糯性,长粒,非糯性长粒
244,WY,wy,WwYy,非糯性,长粒,非糯性长粒
245,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
246,wy,wY,wwYy,糯性,长粒,糯性长粒
247,wy,wy,wwyy,糯性,短粒,糯性短粒
248,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
249,WY,wY,WwYY,非糯性,长粒,非糯性长粒
250,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
251,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
252,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
253,wY,wY,wwYY,糯性,长粒,糯性长粒
254,WY,wy,WwYy,非糯性,长粒,非糯性长粒
255,wy,wY,wwYy,糯性,长粒,糯性长粒
256,wY,wY,wwYY,糯性,长粒,糯性长粒
257,wy,WY,WwYy,非糯性,长粒,非糯性长粒
258,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
259,wY,WY,WwYY,非糯性,长粒,非糯性长粒
260,wY,wy,wwYy,糯性,长粒,糯性长粒
261,wY,wY,wwYY,糯性,长粒,糯性长粒
262,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
263,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
264,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
265,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
266,wy,wY,wwYy,糯性,长粒,糯性长粒
267,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
268,wY,wy,wwYy,糯性,长粒,糯性长粒
269,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
270,WY,WY,WWYY,非糯性,长粒,非糯性长粒
271,WY,wY,WwYY,非糯性,长粒,非糯性长粒
272,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
273,WY,WY,WWYY,非糯性,长粒,非糯性长粒
274,WY,WY,WWYY,非糯性,长粒,非糯性长粒
275,wY,wY,wwYY,糯性,长粒,糯性长粒
276,WY,wY,WwYY,非糯性,长粒,非糯性长粒
277,wY,wY,wwYY,糯性,长粒,糯性长粒
278,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
279,wY,wY,wwYY,糯性,长粒,糯性长粒
280,wY,WY,WwYY,非糯性,长粒,非糯性长粒
281,wy,wy,wwyy,糯性,短粒,糯性短粒
282,wy,WY,WwYy,非糯性,长粒,非糯性长粒
283,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
284,wY,wy,wwYy,糯性,长粒,糯性长粒
285,WY,wY,WwYY,非糯性,长粒,非糯性长粒
286,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
287,WY,wy,WwYy,非糯性,长粒,非糯性长粒
288,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
289,WY,WY,WWYY,非糯性,长粒,非糯性长粒
290,wY,WY,WwYY,非糯性,长粒,非糯性长粒
291,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
292,wy,WY,WwYy,非糯性,长粒,非糯性长粒
293,wy,wy,wwyy,糯性,短粒,糯性短粒
294,wy,WY,WwYy,非糯性,长粒,非糯性长粒
295,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
296,wy,wy,wwyy,糯性,短粒,糯性短粒
297,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
298,wy,wY,wwYy,糯性,长粒,糯性长粒
299,wY,WY,WwYY,非糯性,长粒,非糯性长粒
300,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
301,WY,WY,WWYY,非糯性,长粒,非糯性长粒
302,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
303,wY,wy,wwYy,糯性,长粒,糯性长粒
304,wY,WY,WwYY,非糯性,长粒,非糯性长粒
305,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
306,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
307,WY,WY,WWYY,非糯性,长粒,非糯性长粒
308,wY,WY,WwYY,非糯性,长粒,非糯性长粒
309,WY,WY,WWYY,非糯性,长粒,非糯性长粒
310,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
311,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
312,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
313,wY,wY,wwYY,糯性,长粒,糯性长粒
314,WY,wy,WwYy,非糯性,长粒,非糯性长粒
315,WY,WY,WWYY,非糯性,长粒,非糯性长粒
316,WY,wY,WwYY,非糯性,长粒,非糯性长粒
317,wy,wy,wwyy,糯性,短粒,糯性短粒
318,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
319,WY,wy,WwYy,非糯性,长粒,非糯性长粒
320,wY,wY,wwYY,糯性,长粒,糯性长粒
321,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
322,wY,wy,wwYy,糯性,长粒,糯性长粒
323,wy,WY,WwYy,非糯性,长粒,非糯性长粒
324,WY,WY,WWYY,非糯性,长粒,非糯性长粒
325,wY,wy,wwYy,糯性,长粒,糯性长粒
326,wy,wy,wwyy,糯性,短粒,糯性短粒
327,wY,WY,WwYY,非糯性,长粒,非糯性长粒
328,wY,wY,wwYY,糯性,长粒,糯性长粒
329,WY,wY,WwYY,非糯性,长粒,非糯性长粒
330,wY,wY,wwYY,糯性,长粒,糯性长粒
331,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
332,wy,WY,WwYy,非糯性,长粒,非糯性长粒
333,wY,WY,WwYY,非糯性,长粒,非糯性长粒
334,wY,WY,WwYY,非糯性,长粒,非糯性长粒
335,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
336,WY,wY,WwYY,非糯性,长粒,非糯性长粒
337,wy,wY,wwYy,糯性,长粒,糯性长粒
338,wY,wy,wwYy,糯性,长粒,糯性长粒
339,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
340,WY,WY,WWYY,非糯性,长粒,非糯性长粒
341,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
342,wY,wY,wwYY,糯性,长粒,糯性长粒
343,wY,WY,WwYY,非糯性,长粒,非糯性长粒
344,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
345,WY,wY,WwYY,非糯性,长粒,非糯性长粒
346,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
347,wY,wY,wwYY,糯性,长粒,糯性长粒
348,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
349,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
350,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
351,wY,WY,WwYY,非糯性,长粒,非糯性长粒
352,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
353,wy,WY,WwYy,非糯性,长粒,非糯性长粒
354,WY,wY,WwYY,非糯性,长粒,非糯性长粒
355,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
356,wY,wY,wwYY,糯性,长粒,糯性长粒
357,WY,wY,WwYY,非糯性,长粒,非糯性长粒
358,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
359,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
360,wY,wY,wwYY,糯性,长粒,糯性长粒
361,wy,wY,wwYy,糯性,长粒,糯性长粒
362,wY,wy,wwYy,糯性,长粒,糯性长粒
363,wY,wY,wwYY,糯性,长粒,糯性长粒
364,wY,wy,wwYy,糯性,长粒,糯性长粒
365,wY,wy,wwYy,糯性,长粒,糯性长粒
366,wy,wy,wwyy,糯性,短粒,糯性短粒
367,wy,wy,wwyy,糯性,短粒,糯性短粒
368,wY,wy,wwYy,糯性,长粒,糯性长粒
369,WY,wY,WwYY,非糯性,长粒,非糯性长粒
370,wY,WY,WwYY,非糯性,长粒,非糯性长粒
371,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
372,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
373,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
374,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
375,WY,wy,WwYy,非糯性,长粒,非糯性长粒
376,wY,wY,wwYY,糯性,长粒,糯性长粒
377,wY,wY,wwYY,糯性,长粒,糯性长粒
378,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
379,wY,wy,wwYy,糯性,长粒,糯性长粒
380,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
381,WY,wY,WwYY,非糯性,长粒,非糯性长粒
382,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
383,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
384,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
385,wY,wY,wwYY,糯性,长粒,糯性长粒
386,wY,wy,wwYy,糯性,长粒,糯性长粒
387,WY,wy,WwYy,非糯性,长粒,非糯性长粒
388,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
389,WY,WY,WWYY,非糯性,长粒,非糯性长粒
390,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
391,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
392,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
393,wY,wy,wwYy,糯性,长粒,糯性长粒
394,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
395,WY,wY,WwYY,非糯性,长粒,非糯性长粒
396,wY,wY,wwYY,糯性,长粒,糯性长粒
397,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
398,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
399,wY,wY,wwYY,糯性,长粒,糯性长粒
400,wY,wy,wwYy,糯性,长粒,糯性长粒
401,wY,WY,WwYY,非糯性,长粒,非糯性长粒
402,wY,wy,wwYy,糯性,长粒,糯性长粒
403,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
404,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
405,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
406,wY,wY,wwYY,糯性,长粒,糯性长粒
407,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
408,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
409,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
410,wy,wY,wwYy,糯性,长粒,糯性长粒
411,WY,wy,WwYy,非糯性,长粒,非糯性长粒
412,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
413,wY,wy,wwYy,糯性,长粒,糯性长粒
414,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
415,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
416,wY,wY,wwYY,糯性,长粒,糯性长粒
417,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
418,wy,WY,WwYy,非糯性,长粒,非糯性长粒
419,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
420,wy,wy,wwyy,糯性,短粒,糯性短粒
421,wY,WY,WwYY,非糯性,长粒,非糯性长粒
422,wY,wY,wwYY,糯性,长粒,糯性长粒
423,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
424,WY,wY,WwYY,非糯性,长粒,非糯性长粒
425,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
426,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
427,wy,wY,wwYy,糯性,长粒,糯性长粒
428,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
429,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
430,WY,wY,WwYY,非糯性,长粒,非糯性长粒
431,wy,wY,wwYy,糯性,长粒,糯性长粒
432,WY,wY,WwYY,非糯性,长粒,非糯性长粒
433,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
434,wY,wy,wwYy,糯性,长粒,糯性长粒
435,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
436,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
437,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
438,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
439,wy,WY,WwYy,非糯性,长粒,非糯性长粒
440,WY,wY,WwYY,非糯性,长粒,非糯性长粒
441,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
442,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
443,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
444,Wy,WY,WWYy,非糯性,长粒,非糯性长粒
445,wy,wY,wwYy,糯性,长粒,糯性长粒
446,Wy,wy,Wwyy,非糯性,短粒,非糯性短粒
447,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
448,WY,WY,WWYY,非糯性,长粒,非糯性长粒
449,WY,Wy,WWYy,非糯性,长粒,非糯性长粒
450,wY,Wy,WwYy,非糯性,长粒,非糯性长粒
451,wy,wY,wwYy,糯性,长粒,糯性长粒
452,Wy,wY,WwYy,非糯性,长粒,非糯性长粒
453,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
454,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
455,Wy,Wy,WWyy,非糯性,短粒,非糯性短粒
456,WY,wY,WwYY,非糯性,长粒,非糯性长粒
457,wy,wY,wwYy,糯性,长粒,糯性长粒
458,wy,Wy,Wwyy,非糯性,短粒,非糯性短粒
459,WY,WY,WWYY,非糯性,长粒,非糯性长粒
460,wy,WY,WwYy,非糯性,长粒,非糯性长粒
461,WY,wy,WwYy,非糯性,长粒,非糯性长粒
462,wy,wy,wwyy,糯性,短粒,糯性短粒
463,wY,WY,WwYY,非糯性,长粒,非糯性长粒
